
1969, and
a, dark, shimmering, candle, lovely, lot, nice
ahead, in
air, up
alibis, mirrors
all, just
and, my, i, she, still, in
any, time
are, calling, programmed
at, the
away, wake
back, to
be, heaven, hell
beast, last
before, relaxsaid
bell, and
benz, she
boys, that
bring, me, your
but, they, you
california, such, any, what
called, up
calling, from
calls, friends
can, find, check, never
candle, and
cant, kill
captain, please
ceiling, the
chambers, they
champagne, on
check, out
colitas, rising
cool, wind
corridor, i
could, be
courtyard, sweet
dance, in, to
dark, desert
desert, highway
device, and
dim, i
distance, i
door, i
doorway, i
down, the
face, plenty, they
far, away
feast, they
find, it, the
for, the
forget, so
friends, how
from, far
gathered, for
got, the, a
grew, heavy, dim
had, to, that
hair, warm
havent, had
he, said
head, grew
hear, them
heard, the, them
heaven, or
heavy, and
hell, then
her, mind
here, her, since, of
highway, cool
hotel, california
how, they
i, saw, had, heard, was, thought, called, remember
ice, and
in, my, the
is, tiffanytwisted
it, here, up, with
just, to, prisoners, cant
kill, the
knives, but
last, thing
light, my
like, but
lit, up
livin, it
lot, of
lovely, place, face
man, we
masters, chambers
me, the, my
mercedes, benz
middle, of
mind, is
mirrors, on
mission, bell
my, hair, head, sight, wine
myself, this
never, leave
nice, surprise
night, there, just, man
of, colitas, room, year, pretty, the, our
on, a, the, ice
or, this
our, own
out, any
own, device
passage, back
pink, champagne
place, such, i
please, bring
plenty, of
pretty, pretty, boys
prisoners, here
programmed, to
receive, you
relaxsaid, the
remember, some, i
rising, up
room, at
running, for
said, we
saw, a
say, welcome
she, stood, lit, showed, got, calls, said
shimmering, light
showed, me
sight, grew
since, 1969
smell, of
so, i
some, dance
spirit, here
stab, it
steely, knives
still, those
stood, in
stop, for
such, a
summer, sweat
surprise, what, bring
sweat, some
sweet, summer
that, she, spirit
the, air, distance, night, doorway, mission, corridor, hotel, mercedes, courtyard, captain, middle, ceiling, pink, masters, feast, beast, passage, place
their, steely
them, say
then, she
there, she, were
they, dance, livin, gathered, stab, just
thing, i
thinking, to
this, could
those, voices
thought, i
through, the
tiffanytwisted, she
time, of, you
to, stop, myself, the, remember, forget, hear, find, receive
up, through, ahead, the, in, at
voices, down, are
wake, you
warm, smell
was, thinking, running, before
way, there
we, havent, are
welcome, to
were, voices
what, a
wind, in
wine, he
with, their
year, any, you
you, can, up, like
your, alibis

